====iter_0: fit=6.3228, reg=1.1885, thom=5.1808, thomf=5.0229, acc=0.0234
====iter_100: fit=8.9957, reg=1.1890, thom=5.1357, thomf=4.9643, acc=0.0234
====iter_200: fit=9.0669, reg=1.0754, thom=5.1304, thomf=4.9595, acc=0.0156
====iter_300: fit=9.2094, reg=0.9726, thom=5.1282, thomf=4.9563, acc=0.0000
====iter_400: fit=9.1382, reg=0.8797, thom=5.1266, thomf=4.9541, acc=0.0078
====iter_500: fit=9.1382, reg=0.7956, thom=5.1254, thomf=4.9526, acc=0.0078
====iter_600: fit=9.2094, reg=0.7195, thom=5.1244, thomf=4.9516, acc=0.0000
====iter_700: fit=9.1382, reg=0.6508, thom=5.1236, thomf=4.9509, acc=0.0078
====iter_800: fit=9.2094, reg=0.5885, thom=5.1230, thomf=4.9505, acc=0.0000
====iter_900: fit=9.1382, reg=0.5323, thom=5.1224, thomf=4.9503, acc=0.0078
====iter_1000: fit=9.1382, reg=0.4814, thom=5.1220, thomf=4.9502, acc=0.0078
====iter_1100: fit=8.9957, reg=0.4354, thom=5.1217, thomf=4.9501, acc=0.0234
====iter_1200: fit=9.2094, reg=0.3938, thom=5.1215, thomf=4.9501, acc=0.0000
====iter_1300: fit=4.5982, reg=0.4342, thom=5.1461, thomf=4.9631, acc=0.0156
====iter_1400: fit=4.7102, reg=0.4187, thom=5.1327, thomf=4.9540, acc=0.0078
====iter_1500: fit=4.4678, reg=0.3832, thom=5.1267, thomf=4.9585, acc=0.0312
====iter_1600: fit=4.2556, reg=0.3519, thom=5.1247, thomf=4.9666, acc=0.0078
====iter_1700: fit=4.2890, reg=0.3265, thom=5.1241, thomf=4.9708, acc=0.0391
====iter_1800: fit=4.0503, reg=0.3076, thom=5.1238, thomf=4.9770, acc=0.0703
====iter_1900: fit=3.9038, reg=0.2937, thom=5.1236, thomf=4.9814, acc=0.0781
====iter_2000: fit=3.8467, reg=0.2846, thom=5.1240, thomf=4.9821, acc=0.1250
====iter_2100: fit=3.6188, reg=0.2788, thom=5.1241, thomf=4.9853, acc=0.1641
