====iter_0: fit=6.2162, reg=1.1856, thom=5.1797, thomf=5.0191, acc=0.0000
====iter_100: fit=9.0669, reg=1.2306, thom=5.1516, thomf=4.9709, acc=0.0156
====iter_200: fit=9.2094, reg=1.1133, thom=5.1452, thomf=4.9626, acc=0.0000
====iter_300: fit=9.2094, reg=1.0071, thom=5.1406, thomf=4.9583, acc=0.0000
====iter_400: fit=9.0669, reg=0.9109, thom=5.1367, thomf=4.9555, acc=0.0156
====iter_500: fit=9.1382, reg=0.8239, thom=5.1334, thomf=4.9537, acc=0.0078
====iter_600: fit=9.1382, reg=0.7452, thom=5.1308, thomf=4.9524, acc=0.0078
====iter_700: fit=9.1382, reg=0.6740, thom=5.1286, thomf=4.9515, acc=0.0078
====iter_800: fit=9.1382, reg=0.6097, thom=5.1269, thomf=4.9510, acc=0.0078
====iter_900: fit=9.1382, reg=0.5514, thom=5.1256, thomf=4.9506, acc=0.0078
====iter_1000: fit=9.2094, reg=0.4987, thom=5.1246, thomf=4.9504, acc=0.0000
====iter_1100: fit=9.2094, reg=0.4511, thom=5.1238, thomf=4.9503, acc=0.0000
====iter_1200: fit=5.0296, reg=0.4309, thom=5.1707, thomf=4.9681, acc=0.0156
====iter_1300: fit=4.6807, reg=0.4411, thom=5.1376, thomf=4.9581, acc=0.0078
====iter_1400: fit=4.4369, reg=0.4031, thom=5.1322, thomf=4.9641, acc=0.0078
====iter_1500: fit=4.1449, reg=0.3774, thom=5.1310, thomf=4.9748, acc=0.0781
====iter_1600: fit=4.0229, reg=0.3574, thom=5.1295, thomf=4.9797, acc=0.1016
====iter_1700: fit=3.8499, reg=0.3442, thom=5.1289, thomf=4.9833, acc=0.0859
====iter_1800: fit=3.6765, reg=0.3375, thom=5.1293, thomf=4.9863, acc=0.1172
====iter_1900: fit=3.5589, reg=0.3372, thom=5.1290, thomf=4.9891, acc=0.1484
====iter_2000: fit=3.2189, reg=0.3427, thom=5.1298, thomf=4.9899, acc=0.2188
====iter_2100: fit=3.4209, reg=0.3511, thom=5.1296, thomf=4.9895, acc=0.1562
====iter_2200: fit=3.1480, reg=0.3643, thom=5.1302, thomf=4.9907, acc=0.2578
====iter_2300: fit=2.9990, reg=0.3811, thom=5.1312, thomf=4.9908, acc=0.2734
====iter_2400: fit=2.9166, reg=0.3994, thom=5.1313, thomf=4.9916, acc=0.2266
====iter_2500: fit=2.3732, reg=0.4178, thom=5.1312, thomf=4.9895, acc=0.4219
====iter_2600: fit=2.6040, reg=0.4345, thom=5.1315, thomf=4.9896, acc=0.3203
====iter_2700: fit=2.5658, reg=0.4515, thom=5.1321, thomf=4.9895, acc=0.3203
====iter_2800: fit=2.5808, reg=0.4705, thom=5.1319, thomf=4.9879, acc=0.3125
====iter_2900: fit=2.4494, reg=0.4889, thom=5.1320, thomf=4.9871, acc=0.3594
====iter_3000: fit=2.4797, reg=0.5070, thom=5.1325, thomf=4.9870, acc=0.3203
====iter_3100: fit=2.4754, reg=0.5226, thom=5.1326, thomf=4.9878, acc=0.3516
====iter_3200: fit=2.2073, reg=0.5401, thom=5.1325, thomf=4.9867, acc=0.4297
====iter_3300: fit=2.0750, reg=0.5557, thom=5.1329, thomf=4.9871, acc=0.4062
====iter_3400: fit=1.8765, reg=0.5712, thom=5.1337, thomf=4.9866, acc=0.5078
====iter_3500: fit=2.0821, reg=0.5861, thom=5.1342, thomf=4.9862, acc=0.4766
====iter_3600: fit=2.0585, reg=0.6021, thom=5.1336, thomf=4.9836, acc=0.4766
====iter_3700: fit=2.2265, reg=0.6163, thom=5.1333, thomf=4.9854, acc=0.4297
====iter_3800: fit=1.9938, reg=0.6285, thom=5.1334, thomf=4.9844, acc=0.4688
====iter_3900: fit=2.3452, reg=0.6400, thom=5.1333, thomf=4.9842, acc=0.3750
====iter_4000: fit=2.1908, reg=0.6532, thom=5.1337, thomf=4.9841, acc=0.4844
====iter_4100: fit=2.3500, reg=0.6657, thom=5.1339, thomf=4.9838, acc=0.4141
====iter_4200: fit=1.9849, reg=0.6763, thom=5.1339, thomf=4.9833, acc=0.4609
====iter_4300: fit=1.7595, reg=0.6868, thom=5.1342, thomf=4.9832, acc=0.5547
====iter_4400: fit=1.8984, reg=0.6977, thom=5.1345, thomf=4.9830, acc=0.4844
====iter_4500: fit=1.8467, reg=0.7065, thom=5.1339, thomf=4.9836, acc=0.4688
====iter_4600: fit=2.1845, reg=0.7153, thom=5.1341, thomf=4.9831, acc=0.4531
====iter_4700: fit=1.9211, reg=0.7225, thom=5.1339, thomf=4.9822, acc=0.4453
====iter_4800: fit=1.8883, reg=0.7356, thom=5.1344, thomf=4.9830, acc=0.5156
====iter_4900: fit=1.9883, reg=0.7444, thom=5.1345, thomf=4.9829, acc=0.4844
====iter_5000: fit=1.7070, reg=0.7521, thom=5.1341, thomf=4.9835, acc=0.5703
====iter_5100: fit=1.9174, reg=0.7579, thom=5.1339, thomf=4.9816, acc=0.4531
====iter_5200: fit=2.0157, reg=0.7679, thom=5.1343, thomf=4.9826, acc=0.4922
====iter_5300: fit=1.6291, reg=0.7770, thom=5.1347, thomf=4.9822, acc=0.6094
====iter_5400: fit=2.0091, reg=0.7852, thom=5.1346, thomf=4.9824, acc=0.4609
====iter_5500: fit=2.3089, reg=0.7898, thom=5.1339, thomf=4.9818, acc=0.4062
====iter_5600: fit=1.6190, reg=0.7987, thom=5.1342, thomf=4.9820, acc=0.5312
====iter_5700: fit=1.9420, reg=0.8061, thom=5.1344, thomf=4.9818, acc=0.4688
====iter_5800: fit=1.9685, reg=0.8126, thom=5.1342, thomf=4.9821, acc=0.4609
====iter_5900: fit=1.6449, reg=0.8210, thom=5.1344, thomf=4.9817, acc=0.5391
====iter_6000: fit=1.9023, reg=0.8283, thom=5.1341, thomf=4.9809, acc=0.4766
====iter_6100: fit=1.5089, reg=0.8349, thom=5.1339, thomf=4.9817, acc=0.6328
====iter_6200: fit=1.6522, reg=0.8402, thom=5.1339, thomf=4.9824, acc=0.5625
====iter_6300: fit=1.9390, reg=0.8466, thom=5.1331, thomf=4.9820, acc=0.4766
====iter_6400: fit=1.6203, reg=0.8544, thom=5.1336, thomf=4.9806, acc=0.5547
====iter_6500: fit=1.7119, reg=0.8583, thom=5.1332, thomf=4.9805, acc=0.5469
====iter_6600: fit=1.7218, reg=0.8603, thom=5.1328, thomf=4.9811, acc=0.6172
====iter_6700: fit=1.6223, reg=0.8655, thom=5.1331, thomf=4.9804, acc=0.5391
====iter_6800: fit=1.6193, reg=0.8729, thom=5.1332, thomf=4.9806, acc=0.5859
====iter_6900: fit=1.8759, reg=0.8775, thom=5.1324, thomf=4.9806, acc=0.4688
====iter_7000: fit=2.0617, reg=0.8813, thom=5.1326, thomf=4.9797, acc=0.4375
====iter_7100: fit=1.4767, reg=0.8875, thom=5.1328, thomf=4.9788, acc=0.5938
====iter_7200: fit=1.7487, reg=0.8932, thom=5.1329, thomf=4.9800, acc=0.5391
====iter_7300: fit=1.9850, reg=0.8961, thom=5.1323, thomf=4.9798, acc=0.4844
====iter_7400: fit=1.9306, reg=0.8995, thom=5.1323, thomf=4.9810, acc=0.4688
====iter_7500: fit=1.5791, reg=0.9047, thom=5.1321, thomf=4.9803, acc=0.5625
====iter_7600: fit=1.7986, reg=0.9094, thom=5.1322, thomf=4.9806, acc=0.4922
====iter_7700: fit=1.5073, reg=0.9129, thom=5.1319, thomf=4.9802, acc=0.5781
====iter_7800: fit=1.4869, reg=0.9143, thom=5.1323, thomf=4.9797, acc=0.6172
====iter_7900: fit=1.5242, reg=0.9209, thom=5.1320, thomf=4.9789, acc=0.5547
====iter_8000: fit=1.6699, reg=0.9247, thom=5.1317, thomf=4.9790, acc=0.5625
====iter_8100: fit=1.8506, reg=0.9279, thom=5.1325, thomf=4.9796, acc=0.4922
====iter_8200: fit=1.6050, reg=0.9309, thom=5.1322, thomf=4.9799, acc=0.5703
====iter_8300: fit=1.5099, reg=0.9369, thom=5.1320, thomf=4.9802, acc=0.5547
====iter_8400: fit=1.7298, reg=0.9410, thom=5.1313, thomf=4.9799, acc=0.5781
====iter_8500: fit=1.5708, reg=0.9453, thom=5.1309, thomf=4.9789, acc=0.6250
====iter_8600: fit=1.4652, reg=0.9450, thom=5.1303, thomf=4.9800, acc=0.5469
====iter_8700: fit=1.6198, reg=0.9490, thom=5.1304, thomf=4.9801, acc=0.5469
====iter_8800: fit=1.7559, reg=0.9509, thom=5.1305, thomf=4.9797, acc=0.5078
====iter_8900: fit=1.6961, reg=0.9519, thom=5.1301, thomf=4.9798, acc=0.5703
====iter_9000: fit=1.6410, reg=0.9538, thom=5.1296, thomf=4.9788, acc=0.5312
====iter_9100: fit=1.6961, reg=0.9605, thom=5.1299, thomf=4.9788, acc=0.5703
====iter_9200: fit=1.6434, reg=0.9640, thom=5.1294, thomf=4.9797, acc=0.5938
====iter_9300: fit=1.6620, reg=0.9652, thom=5.1293, thomf=4.9797, acc=0.5391
====iter_9400: fit=1.5912, reg=0.9661, thom=5.1291, thomf=4.9789, acc=0.5547
====iter_9500: fit=1.6256, reg=0.9702, thom=5.1292, thomf=4.9777, acc=0.5703
====iter_9600: fit=1.6364, reg=0.9744, thom=5.1289, thomf=4.9785, acc=0.5703
====iter_9700: fit=1.5922, reg=0.9770, thom=5.1289, thomf=4.9794, acc=0.6250
====iter_9800: fit=1.4472, reg=0.9794, thom=5.1287, thomf=4.9782, acc=0.6328
====iter_9900: fit=1.4729, reg=0.9834, thom=5.1292, thomf=4.9789, acc=0.6172
====iter_10000: fit=1.5567, reg=0.9868, thom=5.1288, thomf=4.9800, acc=0.5547
====iter_10100: fit=1.4669, reg=0.9874, thom=5.1282, thomf=4.9793, acc=0.6172
====iter_10200: fit=1.2227, reg=0.9870, thom=5.1283, thomf=4.9790, acc=0.6484
====iter_10300: fit=1.7373, reg=0.9890, thom=5.1283, thomf=4.9791, acc=0.6016
====iter_10400: fit=1.6670, reg=0.9920, thom=5.1280, thomf=4.9784, acc=0.5703
====iter_10500: fit=1.6320, reg=0.9928, thom=5.1280, thomf=4.9789, acc=0.5547
====iter_10600: fit=1.7144, reg=0.9954, thom=5.1279, thomf=4.9784, acc=0.5547
====iter_10700: fit=1.4734, reg=0.9988, thom=5.1279, thomf=4.9788, acc=0.6016
====iter_10800: fit=1.7923, reg=1.0007, thom=5.1279, thomf=4.9787, acc=0.5000
====iter_10900: fit=1.3671, reg=1.0002, thom=5.1276, thomf=4.9789, acc=0.6328
====iter_11000: fit=1.4592, reg=1.0015, thom=5.1275, thomf=4.9782, acc=0.5703
====iter_11100: fit=1.4496, reg=0.9997, thom=5.1275, thomf=4.9776, acc=0.5703
====iter_11200: fit=1.5879, reg=1.0004, thom=5.1276, thomf=4.9788, acc=0.5547
====iter_11300: fit=1.6578, reg=1.0012, thom=5.1275, thomf=4.9789, acc=0.6250
====iter_11400: fit=1.5963, reg=1.0070, thom=5.1274, thomf=4.9778, acc=0.6094
====iter_11500: fit=1.4585, reg=1.0128, thom=5.1273, thomf=4.9780, acc=0.5938
====iter_11600: fit=1.7078, reg=1.0154, thom=5.1273, thomf=4.9783, acc=0.5625
====iter_11700: fit=1.1981, reg=1.0139, thom=5.1273, thomf=4.9785, acc=0.6875
====iter_11800: fit=1.5882, reg=1.0148, thom=5.1269, thomf=4.9783, acc=0.5781
