====iter_0: fit=6.3621, reg=1.1871, thom=5.1348, thomf=5.0269, acc=0.0078
====iter_100: fit=9.0669, reg=1.2046, thom=5.1611, thomf=4.9647, acc=0.0156
====iter_200: fit=9.2094, reg=1.0895, thom=5.1537, thomf=4.9595, acc=0.0000
====iter_300: fit=9.0669, reg=0.9854, thom=5.1462, thomf=4.9562, acc=0.0156
====iter_400: fit=8.9245, reg=0.8912, thom=5.1439, thomf=4.9540, acc=0.0312
====iter_500: fit=8.9957, reg=0.8061, thom=5.1402, thomf=4.9525, acc=0.0234
====iter_600: fit=8.9957, reg=0.7290, thom=5.1367, thomf=4.9514, acc=0.0234
====iter_700: fit=9.2094, reg=0.6594, thom=5.1353, thomf=4.9508, acc=0.0000
====iter_800: fit=9.1382, reg=0.5964, thom=5.1324, thomf=4.9504, acc=0.0078
====iter_900: fit=9.0669, reg=0.5395, thom=5.1306, thomf=4.9504, acc=0.0156
====iter_1000: fit=9.2094, reg=0.4879, thom=5.1304, thomf=4.9502, acc=0.0000
====iter_1100: fit=4.7618, reg=0.4785, thom=5.1532, thomf=4.9535, acc=0.0000
====iter_1200: fit=4.7950, reg=0.4601, thom=5.1649, thomf=4.9546, acc=0.0000
====iter_1300: fit=4.5687, reg=0.4359, thom=5.1653, thomf=4.9550, acc=0.0156
====iter_1400: fit=4.0336, reg=0.4041, thom=5.1537, thomf=4.9752, acc=0.0625
====iter_1500: fit=4.0291, reg=0.3801, thom=5.1479, thomf=4.9794, acc=0.0938
====iter_1600: fit=3.8363, reg=0.3627, thom=5.1446, thomf=4.9822, acc=0.0938
====iter_1700: fit=3.8050, reg=0.3525, thom=5.1449, thomf=4.9857, acc=0.0859
====iter_1800: fit=3.4122, reg=0.3486, thom=5.1459, thomf=4.9897, acc=0.1641
====iter_1900: fit=3.4629, reg=0.3492, thom=5.1481, thomf=4.9891, acc=0.1328
====iter_2000: fit=3.2657, reg=0.3538, thom=5.1514, thomf=4.9893, acc=0.1562
====iter_2100: fit=3.0357, reg=0.3627, thom=5.1524, thomf=4.9911, acc=0.2109
====iter_2200: fit=2.9750, reg=0.3743, thom=5.1547, thomf=4.9903, acc=0.2656
====iter_2300: fit=3.1403, reg=0.3902, thom=5.1571, thomf=4.9908, acc=0.2969
====iter_2400: fit=2.5910, reg=0.4085, thom=5.1600, thomf=4.9911, acc=0.3516
====iter_2500: fit=2.5845, reg=0.4260, thom=5.1608, thomf=4.9898, acc=0.3438
====iter_2600: fit=2.4422, reg=0.4443, thom=5.1619, thomf=4.9909, acc=0.3438
====iter_2700: fit=2.7614, reg=0.4610, thom=5.1633, thomf=4.9890, acc=0.3047
